⚛️丨央视,#genre#
CCTV1,http://iptva.cn/api/M3u8/Index?id=597&card=99982475359
CCTV2,http://iptva.cn/api/M3u8/Index?id=598&card=99982475359
CCTV3,http://iptva.cn/api/M3u8/Index?id=599&card=99982475359
CCTV4,http://iptva.cn/api/M3u8/Index?id=600&card=99982475359
CCTV5,http://iptva.cn/api/M3u8/Index?id=601&card=99982475359
CCTV5+,http://iptva.cn/api/M3u8/Index?id=602&card=99982475359
CCTV6,http://iptva.cn/api/M3u8/Index?id=603&card=99982475359
CCTV7,http://iptva.cn/api/M3u8/Index?id=604&card=99982475359
CCTV8,http://iptva.cn/api/M3u8/Index?id=605&card=99982475359
CCTV9,http://iptva.cn/api/M3u8/Index?id=606&card=99982475359
CCTV10,http://iptva.cn/api/M3u8/Index?id=607&card=99982475359
CCTV11,http://iptva.cn/api/M3u8/Index?id=608&card=99982475359
CCTV12,http://iptva.cn/api/M3u8/Index?id=609&card=99982475359
CCTV13,http://iptva.cn/api/M3u8/Index?id=610&card=99982475359
CCTV14,http://iptva.cn/api/M3u8/Index?id=611&card=99982475359
CCTV15,http://iptva.cn/api/M3u8/Index?id=612&card=99982475359
CCTV16,http://iptva.cn/api/M3u8/Index?id=613&card=99982475359
CCTV17,http://iptva.cn/api/M3u8/Index?id=614&card=99982475359

CCTV1,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV2,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV3,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240245_1/playlist.m3u8?CONTENTID=00000110240245_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240316_1/playlist.m3u8?CONTENTID=00000110240316_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
